iter	RMSE
0	1.088224143
1	1.05735791
2	1.029694635
3	0.9987814716
4	0.9738192527
5	0.9491419968
6	0.9255370656
7	0.9016885749
8	0.8802381374
9	0.8617053303
10	0.8431413822
11	0.8252473278
12	0.8098026756
13	0.7956270729
14	0.783346619
15	0.7691550587
16	0.7566499938
17	0.7454838054
18	0.7337493396
19	0.7226303275
20	0.7131122645
21	0.7039566952
22	0.6960748657
23	0.6880583735
24	0.6801983049
25	0.6732529759
26	0.6667434635
27	0.6600140204
28	0.6543540569
29	0.6494294932
30	0.6452684245
31	0.6397652482
32	0.636107684
33	0.6317510154
34	0.6282066212
35	0.6248676609
36	0.6214426048
37	0.618193731
38	0.6155894359
39	0.6127685789
40	0.610090202
41	0.6074903808
42	0.6048942162
43	0.602520264
44	0.6004530868
45	0.5980475384
46	0.5959112487
47	0.5940248625
48	0.5918963933
49	0.5900266218
50	0.5880532984
51	0.5858752682
52	0.5843026626
53	0.582587018
54	0.5815993535
55	0.5796376873
56	0.5782694097
57	0.5770764588
58	0.5758437111
59	0.5745902476
60	0.5734093233
61	0.57199682
62	0.5705405974
63	0.5695223159
64	0.5683527461
65	0.5676139525
66	0.5667101953
67	0.5655093903
68	0.5643710617
69	0.5632727165
70	0.5619054974
71	0.5612044402
72	0.560263954
73	0.5590997241
74	0.557931173
75	0.5567138108
76	0.5558884567
77	0.5549845182
78	0.5543214447
79	0.5536329669
80	0.5530278413
81	0.5522431875
82	0.5516231856
83	0.5509325566
84	0.5501607335
85	0.5493721025
86	0.5488051626
87	0.5479895154
88	0.5472350759
89	0.5467913893
90	0.5461807718
91	0.5452528065
92	0.544682285
93	0.5442121606
94	0.5436267223
95	0.5431441598
96	0.5428059619
97	0.5421474941
98	0.5412022568
99	0.5407379856
100	0.5400806349
101	0.5392599793
102	0.5388112891
103	0.5383301545
104	0.5378266961
105	0.5373081844
106	0.5368444515
107	0.5364668468
108	0.5359914667
109	0.535668594
110	0.5352493332
111	0.5349852829
112	0.5345109966
113	0.5341347641
114	0.5336351113
115	0.5332861095
116	0.532850649
117	0.5322622584
118	0.5318705114
119	0.5311126066
120	0.5305730721
121	0.5300661324
122	0.5294786249
123	0.5289542839
124	0.5284890409
125	0.5277768168
126	0.5272716044
127	0.5266259004
128	0.5262482852
129	0.5258167043
130	0.5253267535
131	0.5249145468
132	0.5242309757
133	0.5236556083
134	0.5231818661
135	0.5228493252
136	0.5222989962
137	0.5217413045
138	0.5212527057
139	0.5205363882
140	0.5198760179
141	0.5194407017
142	0.5191495492
143	0.5188645845
144	0.5184023237
145	0.5178627568
146	0.517603992
147	0.5169372012
148	0.516512198
149	0.5161280225
150	0.5156771023
151	0.5152978101
152	0.514885755
153	0.5143498952
154	0.5139624419
155	0.5135385533
156	0.5132938504
157	0.5126927985
158	0.5122175902
159	0.5119365107
160	0.5114621059
161	0.5110078505
162	0.5105484369
163	0.5099531753
164	0.5093987432
165	0.5088919061
166	0.5084801065
167	0.5081219368
168	0.5076148453
169	0.5071246482
170	0.5067864506
171	0.5064078895
172	0.5058098686
173	0.505428805
174	0.5048293874
175	0.5043699468
176	0.5039497968
177	0.5036474798
178	0.5032217769
179	0.5027353926
180	0.5023117412
181	0.501877647
182	0.5014409079
183	0.5010662967
184	0.5006851484
185	0.5005208823
186	0.5001678099
187	0.4997019811
188	0.4993131373
189	0.4989211504
190	0.4983421346
191	0.4980559313
192	0.4977179744
193	0.497043832
194	0.4966543753
195	0.4962218412
196	0.4959181053
197	0.4954093386
198	0.4950650848
199	0.4947019723
200	0.4944707859
201	0.4941670503
202	0.4938840539
203	0.4933924698
204	0.4930609814
205	0.4923585068
206	0.4918963654
207	0.4915428849
208	0.4912178161
209	0.4906985451
210	0.4903450873
211	0.4898239121
212	0.4894131756
213	0.4888439649
214	0.488119177
215	0.4877467567
216	0.4874955562
217	0.4868606535
218	0.4863973413
219	0.4859998414
220	0.4854540644
221	0.4848437023
222	0.4844261357
223	0.4839240674
224	0.4836780458
225	0.4834038251
226	0.4829432994
227	0.4826182997
228	0.4821558701
229	0.4816281481
230	0.4813426726
231	0.480817086
232	0.4805342519
233	0.4799896216
234	0.4795409243
235	0.4792248606
236	0.4787223669
237	0.4783810301
238	0.4780166239
239	0.4775420965
240	0.477154651
241	0.4766849969
242	0.4762490445
243	0.4759948011
244	0.475669517
245	0.4750233627
246	0.4745739304
247	0.4741371669
248	0.4736473921
249	0.4732845029
250	0.4731042544
251	0.4727141543
252	0.4724720637
253	0.4718961586
254	0.4714700143
255	0.4710495366
256	0.4706677864
257	0.4703726322
258	0.4699974324
259	0.4695483353
260	0.4693135193
261	0.4690949451
262	0.4687442695
263	0.4684034921
264	0.4681663201
265	0.4677798259
266	0.4674427343
267	0.4670397592
268	0.4665678481
269	0.466148803
270	0.4658762731
271	0.4657018957
272	0.4651763614
273	0.4648246116
274	0.4646130808
275	0.464196264
276	0.4637805689
277	0.4634562624
278	0.463272046
279	0.4629386998
280	0.4626349308
281	0.4623056518
282	0.4620767737
283	0.4618218927
284	0.4614633069
285	0.4611907629
286	0.4609695009
287	0.4607424799
288	0.4603741929
289	0.4599704256
290	0.4596603545
291	0.4593752918
292	0.4589966548
293	0.4588191931
294	0.4582843279
295	0.4579211961
296	0.4575527952
297	0.4570739311
298	0.4567914611
299	0.4563538703
