iter	Passed	Remaining
0	170	51058
1	177	26383
2	190	18873
3	194	14392
4	199	11741
5	202	9920
6	207	8665
7	211	7719
8	215	6965
9	218	6347
10	223	5877
11	228	5473
12	232	5127
13	236	4825
14	240	4576
15	244	4346
16	249	4148
17	253	3974
18	258	3818
19	262	3671
20	266	3544
21	270	3421
22	274	3303
23	279	3212
24	283	3117
25	287	3029
26	291	2948
27	295	2869
28	299	2801
29	303	2733
30	307	2670
31	311	2612
32	315	2553
33	319	2500
34	324	2454
35	328	2408
36	332	2363
37	336	2321
38	341	2284
39	345	2243
40	349	2204
41	352	2167
42	357	2135
43	361	2102
44	365	2071
45	369	2041
46	374	2013
47	378	1984
48	382	1957
49	387	1935
50	396	1934
51	401	1914
52	405	1890
53	409	1866
54	414	1845
55	418	1823
56	421	1798
57	426	1777
58	430	1757
59	434	1736
60	438	1716
61	442	1698
62	446	1680
63	450	1661
64	454	1643
65	458	1626
66	464	1614
67	469	1602
68	475	1593
69	482	1586
70	490	1580
71	496	1571
72	502	1562
73	510	1559
74	516	1549
75	521	1536
76	529	1532
77	539	1536
78	544	1524
79	549	1511
80	555	1500
81	559	1486
82	564	1475
83	569	1464
84	574	1452
85	577	1438
86	583	1428
87	586	1413
88	592	1405
89	597	1395
90	603	1387
91	609	1377
92	613	1365
93	617	1354
94	623	1345
95	630	1339
96	634	1328
97	639	1317
98	643	1305
99	647	1295
100	652	1285
101	656	1274
102	660	1263
103	664	1252
104	668	1242
105	673	1232
106	677	1221
107	681	1211
108	685	1201
109	689	1191
110	693	1180
111	698	1172
112	702	1162
113	707	1153
114	710	1143
115	715	1134
116	718	1124
117	722	1113
118	727	1105
119	731	1096
120	734	1086
121	739	1078
122	744	1071
123	748	1062
124	752	1053
125	756	1044
126	760	1036
127	764	1027
128	768	1019
129	774	1012
130	778	1004
131	783	996
132	791	993
133	796	987
134	801	979
135	805	970
136	808	962
137	813	954
138	817	946
139	821	938
140	825	930
141	829	923
142	833	915
143	837	907
144	842	900
145	846	892
146	850	884
147	854	877
148	859	870
149	863	863
150	868	857
151	874	851
152	878	844
153	882	836
154	886	829
155	890	822
156	894	814
157	898	807
158	903	801
159	907	794
160	911	787
161	917	781
162	922	775
163	926	768
164	930	761
165	935	755
166	939	748
167	943	741
168	947	734
169	951	727
170	956	721
171	960	714
172	964	708
173	968	701
174	973	695
175	977	688
176	982	682
177	986	675
178	992	670
179	997	664
180	1000	657
181	1005	651
182	1009	645
183	1013	638
184	1017	632
185	1020	625
186	1025	619
187	1029	613
188	1033	606
189	1037	600
190	1040	593
191	1045	587
192	1049	581
193	1052	575
194	1057	569
195	1061	563
196	1065	557
197	1069	551
198	1074	545
199	1078	539
200	1082	533
201	1086	526
202	1090	520
203	1093	514
204	1097	508
205	1101	502
206	1105	496
207	1108	490
208	1113	484
209	1117	479
210	1121	473
211	1125	467
212	1129	461
213	1134	455
214	1138	449
215	1142	444
216	1146	438
217	1150	432
218	1154	427
219	1158	421
220	1163	415
221	1171	411
222	1175	405
223	1180	400
224	1184	394
225	1188	389
226	1192	383
227	1196	377
228	1199	372
229	1204	366
230	1208	361
231	1212	355
232	1216	349
233	1220	344
234	1225	338
235	1229	333
236	1233	327
237	1237	322
238	1241	316
239	1245	311
240	1250	306
241	1254	300
242	1257	294
243	1261	289
244	1265	284
245	1270	278
246	1274	273
247	1278	268
248	1282	262
249	1287	257
250	1291	252
251	1296	246
252	1299	241
253	1303	236
254	1308	230
255	1312	225
256	1316	220
257	1320	214
258	1324	209
259	1329	204
260	1332	199
261	1336	193
262	1338	188
263	1342	183
264	1345	177
265	1350	172
266	1354	167
267	1357	162
268	1360	156
269	1363	151
270	1366	146
271	1369	140
272	1372	135
273	1375	130
274	1377	125
275	1380	120
276	1383	114
277	1386	109
278	1389	104
279	1392	99
280	1394	94
281	1397	89
282	1400	84
283	1403	79
284	1405	73
285	1408	68
286	1411	63
287	1414	58
288	1416	53
289	1419	48
290	1422	43
291	1424	39
292	1427	34
293	1430	29
294	1433	24
295	1436	19
296	1439	14
297	1442	9
298	1445	4
299	1447	0
